Date,Open,High,Low,Close
10/14/2003,104.8,105.42999,104.36,105.27
10/15/2003,105.86,105.89,104.64,104.99001
10/16/2003,104.67999,105.73,104.64999,105.41
10/17/2003,105.47,105.63,103.98,104.25999
10/20/2003,104.44701,105.03999,103.94,105.03999
10/21/2003,104.82001,105.28,104.32001,104.86
10/22/2003,104.03,104.19,103.19,103.53999
10/23/2003,102.89,103.95,102.84,103.35001
10/24/2003,102.83,103.58,102.17999,103.58
10/27/2003,103.74001,104.17999,103.27,103.63
10/28/2003,103.98,105.14999,103.82001,105.03999
10/29/2003,104.77,105.42999,103.87,105.17999
10/30/2003,105.78999,105.97,104.8,105.39999
10/31/2003,105.39999,105.74001,105.22,105.3
11/03/2003,105.75,106.61,105.71001,105.99001
11/04/2003,105.99001,106.27,105.58,105.75999
11/05/2003,105.53999,105.97,104.89999,105.84
11/06/2003,105.60001,106.44,105.10001,106.39999
11/07/2003,106.64,106.72,105.57001,105.61
11/10/2003,105.74001,105.84,105.00999,105.17999
11/11/2003,105.09,105.33,104.8,105.14999
11/12/2003,105.23,106.47,105.16,106.33
11/13/2003,106.00999,106.53999,105.78,106.36
11/14/2003,106.39999,106.95,105.28999,105.46001
11/17/2003,104.91,105.14,104.03999,104.92999
11/18/2003,105.24001,105.45,103.7,103.84
11/19/2003,104.03,105.00999,103.92,104.72
11/20/2003,103.91,105.24001,103.75,103.78
11/21/2003,104.24001,104.33,103.62,104.21001
11/24/2003,104.69,105.78,104.67999,105.59
11/25/2003,105.71001,106.42,105.45,105.99001
11/26/2003,106.42,106.45,105.39,106.37
11/28/2003,106.31,106.66,106.201,106.45
12/01/2003,106.92999,107.67999,106.8,107.60001
12/02/2003,107.42999,107.77,107.07001,107.33
12/03/2003,107.64999,108.08,107.07001,107.16
12/04/2003,107.17,107.72,106.94,107.60001
12/05/2003,107.12,107.8,106.62,106.85001
12/08/2003,106.74001,107.64,106.67999,107.57001
12/09/2003,107.89999,107.92999,106.53999,106.74001
12/10/2003,106.8,106.98,105.96001,106.73
12/11/2003,106.67999,108.10001,106.67,107.92999
12/12/2003,107.99001,108.2,106.64999,108.14
12/15/2003,109.17,109.23,107.48,107.60001
12/16/2003,107.67999,108.5,107.52,108.16
12/17/2003,108.06,108.5,107.8,108.5
12/18/2003,108.55,109.73,108.39,109.72
12/19/2003,109.3,109.37,108.58,108.89999
12/22/2003,108.83,109.66,108.78,109.66
12/23/2003,109.48,109.95,109.38,109.73
12/24/2003,109.52,109.88,109.42999,109.62
12/26/2003,109.71001,110.08,109.63,109.7
12/29/2003,110.10001,111.27,109.7843,111.16
12/30/2003,111.09,111.27,110.85001,111.17999
12/31/2003,111.22,111.52,110.84,111.28
01/02/2004,111.74001,112.19,110.73,111.23
01/05/2004,111.78,112.52,111.59,112.44
01/06/2004,112.16,112.73,112.0,112.55
01/07/2004,112.35001,113.06,111.89,112.92999
01/08/2004,113.25,113.41,112.77,113.38
01/09/2004,112.83,113.5,112.27,112.39
01/12/2004,112.55,113.25,112.36,113.22
01/13/2004,113.09,113.23,111.75999,112.56
01/14/2004,112.75999,113.66,112.67,113.5
01/15/2004,113.57001,114.06,112.58,113.78
01/16/2004,114.03999,114.31,113.63,114.23
01/20/2004,114.53,114.64999,113.82001,114.2
01/21/2004,114.13,115.3,113.72,115.10001
01/22/2004,115.14,115.38,114.58,114.8
01/23/2004,115.0,115.37,113.95,114.42999
01/26/2004,114.44,115.92999,114.38,115.87
01/27/2004,115.85001,116.5,114.64999,114.67999
01/28/2004,114.98,115.28,112.94,113.37
01/29/2004,113.56,113.85001,112.56,113.48
01/30/2004,113.52,113.72,113.09,113.48
02/02/2004,113.7,114.67999,113.12,113.97
02/03/2004,113.74001,114.14,113.44,113.78
02/04/2004,113.19,113.73,112.78999,112.85001
02/05/2004,113.08,113.53999,112.78,113.17999
02/06/2004,113.42,114.7,113.2,114.45
02/09/2004,114.67,114.87,114.28999,114.48
02/10/2004,114.28,115.14,114.25999,114.85001
02/11/2004,114.8,116.39,114.17,116.07001
02/12/2004,115.98,116.27,115.58,115.64999
02/13/2004,115.82001,116.2,114.75,115.13
02/17/2004,115.85001,116.42999,115.77,116.17
02/18/2004,116.2,116.60001,115.35001,115.66
02/19/2004,116.33,116.39,115.06,115.23
02/20/2004,115.48,115.5616,114.32001,114.88
02/23/2004,115.22,115.25999,114.17,114.59
02/24/2004,114.27,114.99001,113.89999,114.39
02/25/2004,114.46001,115.06,114.32001,114.87
02/26/2004,114.61,115.28999,114.34,114.94
02/27/2004,115.19,115.74001,114.63,115.02
03/01/2004,115.42999,116.34,115.25,116.16
03/02/2004,115.94,116.97,115.23,115.48
03/03/2004,115.25,115.87,114.92,115.69
03/04/2004,115.72,116.10001,115.52,115.99001
03/05/2004,115.42,116.95,115.28,116.38
03/08/2004,116.34,116.62,114.91,114.96001
03/09/2004,115.10001,115.21001,114.24001,114.5
03/10/2004,114.72,114.77,112.56,112.58
03/11/2004,112.39999,113.27,111.10001,111.12
03/12/2004,111.73,112.71001,111.58,112.58
03/15/2004,112.27,112.35001,110.89999,111.2
03/16/2004,111.78,112.06,110.84,111.78999
03/17/2004,112.17999,113.25999,112.10001,113.03999
03/18/2004,112.71001,113.27,111.92999,113.07001
03/19/2004,112.41,112.57001,111.03999,111.06
03/22/2004,110.53999,110.57001,109.10001,109.64999
03/23/2004,110.25,110.39999,109.36,109.46001
03/24/2004,109.58,110.14,108.85001,109.55
03/25/2004,110.08,111.3,109.78999,111.0
03/26/2004,110.955,111.78999,110.8,111.03
03/29/2004,111.63,112.74001,111.58,112.59
03/30/2004,112.3,113.07001,112.22,112.97
03/31/2004,112.99001,113.39999,112.38,113.10001
04/01/2004,113.07001,113.87,113.05,113.78
04/02/2004,114.81,114.84,113.89999,114.64
04/05/2004,114.46001,115.38,114.44,115.27
04/06/2004,114.83,115.17999,114.62,114.89999
04/07/2004,114.98,114.98,114.11,114.63
04/08/2004,115.41,115.41,113.74001,114.37
04/12/2004,114.58,115.08,114.57001,114.82001
04/13/2004,115.25999,115.3,113.02,113.21001
04/14/2004,112.61,113.64,112.55,113.39
04/15/2004,113.45,113.78,112.36,112.96001
04/16/2004,113.36,114.05,112.98,113.83
04/19/2004,113.57001,113.99001,113.27,113.83
04/20/2004,114.08,114.32001,111.78,111.92
04/21/2004,112.2,112.95,111.87,112.67
04/22/2004,112.48,114.67,112.44,114.25
04/23/2004,114.42,114.57001,113.78999,114.36
04/26/2004,114.5,114.94,113.60001,114.2
04/27/2004,114.23,115.12,113.96001,114.3
04/28/2004,113.89,114.00999,112.5,112.82001
04/29/2004,112.72,113.32001,111.16,111.83
04/30/2004,112.12,112.38,110.89999,110.96001
05/03/2004,111.37,112.28999,111.35001,112.14999
05/04/2004,112.25,113.25999,111.66,112.06
05/05/2004,112.41,112.96001,112.16,112.78
05/06/2004,112.02,112.58949,111.0,111.81
05/07/2004,111.22,112.23,109.96001,109.96001
05/10/2004,109.44,109.75,108.36,108.83
05/11/2004,109.46001,110.05,109.33,109.75
05/12/2004,109.61,110.53999,108.06,110.45
05/13/2004,109.75999,110.81,109.63,109.99001
05/14/2004,109.98,110.74001,109.27,110.03999
05/17/2004,108.89,109.5,108.41,109.10001
05/18/2004,109.49001,109.94,109.33,109.64999
05/19/2004,110.5,111.17999,109.14999,109.27
05/20/2004,109.45,109.87,109.03999,109.62
05/21/2004,109.97,110.55,109.47,109.81
05/24/2004,110.53,110.75999,109.67999,110.27
05/25/2004,109.89999,111.98,109.60001,111.85001
05/26/2004,111.66,112.28999,111.50999,112.24001
05/27/2004,112.53999,113.03,112.06,112.87
05/28/2004,112.73,112.88,112.36,112.86
06/01/2004,112.46001,112.86,111.87,112.71001
06/02/2004,113.03,113.48,112.46001,113.13
06/03/2004,112.81,113.19,112.07001,112.09
06/04/2004,112.98,113.58,112.71001,112.98
06/07/2004,113.5,114.81,113.42,114.7
06/08/2004,114.37,114.92,114.17,114.86
06/09/2004,114.50999,114.7,113.72,113.78999
06/10/2004,114.03999,114.35001,113.92999,114.35001
06/14/2004,113.82001,113.85001,112.87,113.22
06/15/2004,113.89999,114.44501,113.50999,114.02
06/16/2004,114.0,114.2,113.7,114.0
06/17/2004,113.78999,114.07001,113.33,113.83
06/18/2004,113.27,114.22,113.17999,113.63
06/21/2004,113.75,114.14,113.13,113.2
06/22/2004,113.13,113.88,112.67,113.77
06/23/2004,113.58,114.84,113.42,114.75
06/24/2004,114.5,114.92999,114.25999,114.39
06/25/2004,114.41,114.94,113.67999,113.84
06/28/2004,114.53,114.61,113.41,113.45
06/29/2004,113.5,114.17,113.42,113.92
06/30/2004,114.07001,114.78999,113.64999,114.53
07/01/2004,114.25,114.39999,112.58,112.94
07/02/2004,113.16,113.28999,112.60001,112.88
07/06/2004,112.37,112.45,111.63,111.89
07/07/2004,111.81,112.57001,111.75,112.22
07/08/2004,111.75,112.32001,111.2,111.42
07/09/2004,111.67,111.94,111.38,111.73
07/12/2004,111.52,112.03999,111.0,111.78
07/13/2004,111.92,112.02,111.60001,111.86
07/14/2004,111.25999,112.39,111.12,111.52
07/15/2004,111.74001,111.91,110.7,110.8
07/16/2004,111.57001,111.67,110.44,110.71001
07/19/2004,110.75,110.96001,109.99001,110.24001
07/20/2004,110.53,111.89999,110.25,111.64
07/21/2004,111.82001,112.06,109.45,109.58
07/22/2004,109.36,110.39,108.77,109.88
07/23/2004,109.62,109.71001,108.69,108.96001
07/26/2004,109.21001,109.42999,108.21001,108.75
07/27/2004,109.05,110.11,108.97,109.77
07/28/2004,109.55,110.37,108.59,110.10001
07/29/2004,110.53999,110.87,110.0,110.57001
07/30/2004,110.32001,110.89999,110.10001,110.84
08/02/2004,110.19,113.61,110.05,111.07001
08/03/2004,110.92999,111.06,110.16,110.21001
08/04/2004,109.89,110.75,109.64,110.2
08/05/2004,110.28999,110.38,108.27,108.39999
08/06/2004,107.63,107.965,106.62,106.85001
08/09/2004,107.02,107.48,106.87,107.0
08/10/2004,107.31,108.41,107.25999,108.22
08/11/2004,107.66,108.33,107.10001,108.16
08/12/2004,107.62,107.95,106.63,106.98
08/13/2004,107.12,107.35001,106.59,107.19
08/16/2004,107.14,108.64,107.10001,108.3
08/17/2004,108.75,109.28,108.53,108.91
08/18/2004,108.53999,110.17,108.49001,110.03
08/19/2004,109.81,110.02,109.17999,109.71001
08/20/2004,109.61,110.63,109.50999,110.48
08/23/2004,110.55,110.77,110.05,110.2
08/24/2004,110.69,110.73,109.85001,110.35001
08/25/2004,110.33,111.27,109.89999,111.10001
08/26/2004,110.99001,111.31,110.85001,111.10001
08/27/2004,111.23,111.63,111.05,111.45
08/30/2004,111.23,111.34,110.45,110.53
08/31/2004,110.66,111.16,110.10001,111.11
09/01/2004,110.94,111.64,110.48,111.32001
09/02/2004,111.24001,112.7,111.24001,112.58
09/03/2004,112.27,112.82001,112.00999,112.12
09/07/2004,112.53999,113.13,112.32001,112.86
09/08/2004,112.62,113.06,112.31,112.58
09/09/2004,112.57001,112.88,112.03,112.48
09/10/2004,112.52,113.27,112.08,113.06
09/13/2004,113.31,113.74001,113.00999,113.42999
09/14/2004,113.3,113.69,113.19,113.66
09/15/2004,113.3,113.36,112.67999,112.8
09/16/2004,112.94,113.37,112.8,113.14
09/17/2004,112.91,113.36,112.69,113.14999
09/20/2004,112.67,112.99001,112.28,112.47
09/21/2004,112.75,113.47,112.53999,112.96001
09/22/2004,112.5,112.52,111.47,111.55
09/23/2004,111.60001,111.7,110.95,110.95
09/24/2004,111.17,111.73,111.13,111.46001
09/27/2004,111.10001,111.2,110.58,110.75
09/28/2004,110.91,111.50999,110.41,111.28
09/29/2004,111.21001,111.85001,111.0,111.84
09/30/2004,111.55,111.98,111.25999,111.75999
10/01/2004,112.25999,113.64999,112.21001,113.64999
10/04/2004,114.09,114.44,113.8,113.84
10/05/2004,113.85001,114.16,113.53999,113.89999
10/06/2004,113.77,114.67999,113.67999,114.62
10/07/2004,114.38,114.39999,113.36,113.45
10/08/2004,113.14999,113.7,112.35001,112.50999
10/11/2004,112.78,113.02,112.64,112.97
10/12/2004,112.2,112.83,111.94,112.53
10/13/2004,113.0,113.07001,111.32001,111.53999
10/14/2004,111.75,111.92999,110.58,110.64
10/15/2004,111.03999,111.74001,110.57001,111.25999
10/18/2004,110.89,111.89999,110.7,111.67999
10/19/2004,112.02,112.23,110.59,110.74001
10/20/2004,110.38,110.82001,109.75,110.52
10/21/2004,110.78999,111.32001,110.21001,111.24001
10/22/2004,111.19,111.25,109.86,109.99001
10/25/2004,109.75,110.12,109.35001,109.86
10/26/2004,110.10001,111.60001,109.88,111.53999
10/27/2004,111.38,113.10001,111.12,112.88
10/28/2004,112.78,113.56,112.49001,113.22
10/29/2004,113.17999,113.64,112.89999,113.2
11/01/2004,113.56,113.84,113.2,113.50999
11/02/2004,113.67,114.57001,113.22,113.55
11/03/2004,115.03,115.36,114.24001,114.98
11/04/2004,114.78,116.67,114.67999,116.55
11/05/2004,117.05,117.64,116.49001,117.28
11/08/2004,116.98,117.23,116.72,117.11
11/09/2004,117.08,117.5,116.75999,116.88
11/10/2004,117.06,117.55,116.75999,116.97
11/11/2004,117.17999,118.12,117.10001,117.86
11/12/2004,117.97,119.0,117.67999,118.78999
11/15/2004,118.5,118.77,118.23,118.73
11/16/2004,118.36,118.41,117.73,117.88
11/17/2004,118.37,119.14,118.07001,118.58
11/18/2004,118.49001,118.8,118.23,118.74001
11/19/2004,118.7,118.72,117.14,117.42
11/22/2004,117.17,118.12,117.03,117.98
11/23/2004,117.92999,118.25999,117.37,118.16
11/24/2004,118.27,118.59,118.05,118.44
11/26/2004,118.50999,118.98,118.3,118.35001
11/29/2004,118.78999,119.00999,117.48,117.81
11/30/2004,118.0,118.24001,117.64,117.89
12/01/2004,118.16,119.5,118.10001,119.23
12/02/2004,119.10001,119.87,119.00999,119.33
12/03/2004,119.27,120.14,119.09,119.25
12/06/2004,119.21001,119.64,118.84,119.21001
12/07/2004,119.49001,119.62,118.03999,118.10001
12/08/2004,118.21001,118.82001,118.00999,118.78999
12/09/2004,118.14,119.46001,117.73,119.21001
12/10/2004,118.88,119.56,118.85001,119.33
12/13/2004,119.75999,120.39999,119.35001,120.37
12/14/2004,120.17999,120.96001,120.17999,120.78999
12/15/2004,120.7,121.11,120.31,120.88
12/16/2004,120.72,121.24001,120.03999,120.81
12/17/2004,119.46001,119.97,119.16,119.44
12/20/2004,119.75,120.28999,119.17,119.47
12/21/2004,119.60001,120.48,119.07001,120.39
12/22/2004,120.38,121.08,120.05,120.67999
12/23/2004,120.87,121.28,120.09,120.77
12/27/2004,121.2,121.36,120.39,120.52
12/28/2004,120.64,121.33,120.60001,121.17999
12/29/2004,121.08,121.39999,120.95,121.36
12/30/2004,121.39999,121.57001,121.03999,121.13
12/31/2004,121.3,121.66,120.8,120.87
01/03/2005,121.56,121.75999,119.89999,120.3
01/04/2005,120.46001,120.53999,118.44,118.73
01/05/2005,118.74001,119.25,118.0,118.00999
01/06/2005,118.44,119.14999,118.25999,118.61
01/07/2005,118.97,119.23,118.13,118.44
01/10/2005,118.34,119.46001,118.34,119.0
01/11/2005,118.64,118.74001,117.99001,118.17999
01/12/2005,118.39999,118.84,117.52,118.57001
01/13/2005,118.64,118.73,117.5,117.62
01/14/2005,117.97,118.53,117.75999,118.24001
01/18/2005,118.05,119.62,117.95,119.47
01/19/2005,119.42999,119.52,118.21001,118.22
01/20/2005,117.89,118.2,117.28999,117.5
01/21/2005,117.78999,118.0,116.64999,116.78
01/24/2005,117.09,117.34,116.37,116.55
01/25/2005,116.91,117.47,116.72,116.88
01/26/2005,117.32001,117.60001,117.03999,117.23
01/27/2005,117.19,117.75,116.98,117.42999
01/28/2005,117.49001,117.55,116.61,117.42999
01/31/2005,117.97,118.25,117.71001,118.16
02/01/2005,118.25,119.08,118.10001,118.91
02/02/2005,119.06,119.59,118.89999,119.27
02/03/2005,119.06,119.16,118.57001,118.96001
02/04/2005,119.0,120.42999,118.98,120.23
02/07/2005,120.25,120.52,119.96001,120.07001
02/08/2005,120.17,120.64999,120.07001,120.21001
02/09/2005,120.42,120.49001,119.25,119.31
02/10/2005,119.66,120.02,119.25999,119.74001
02/11/2005,119.7,121.03999,119.46001,120.77
02/14/2005,120.69,120.86,120.48,120.67999
02/15/2005,120.8,121.42999,120.67999,121.13
02/16/2005,120.92999,121.46001,120.67,121.21001
02/17/2005,121.23,121.33,120.22,120.23
02/18/2005,120.17,120.48,119.89999,120.39
02/22/2005,119.89999,120.47,118.58,118.60001
02/23/2005,118.92999,119.57001,118.62469,119.45
02/24/2005,119.24001,120.32001,118.98,120.24001
02/25/2005,120.27,121.67,120.17999,121.42999
02/28/2005,121.14999,121.3,120.03999,120.63
03/01/2005,120.78,121.52,120.78,121.23
03/02/2005,120.75999,121.92999,120.64999,121.17
03/03/2005,121.66,121.89999,120.7,121.22
03/04/2005,122.05,122.83,121.78999,122.73
03/07/2005,122.66,123.25,122.59,122.78999
03/08/2005,122.67,123.0,122.11,122.33
03/09/2005,121.97,122.28999,120.96001,120.97
03/10/2005,121.2,121.5,120.39999,121.24001
03/11/2005,121.31,121.72,120.16,120.39
03/14/2005,120.61,121.16,120.28,121.14
03/15/2005,121.42,121.46001,120.08,120.14
03/16/2005,119.7,119.88,118.89999,119.12
03/17/2005,119.31,119.74001,118.98,119.36
03/18/2005,119.11,119.53,118.14999,118.53999
03/21/2005,118.71001,118.78,117.75999,118.10001
